start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
2011-08-11T00,83,25,984,2011-08-11T12,81,10
2011-08-20T00,58,205,984,2011-08-22T12,73,215
2011-09-06T06,58,350,980,2011-09-08T18,68,355
2011-09-09T18,84,170,980,2011-09-10T12,84,165
2011-09-15T06,75,270,980,2011-09-16T06,74,285
2011-09-22T12,66,240,976,2011-09-28T00,56,325
2011-10-03T06,58,345,964,2011-10-11T06,78,110
2011-10-14T06,74,350,972,2011-10-15T06,78,3
2011-10-17T00,63,345,968,2011-10-21T00,72,25
2011-10-29T00,89,225,972,2011-10-30T18,80,200
